,text,vid,bid,uid,ppl,idf,idf_avg,cross_score,odyssey_ppl
47,ἕζετ᾽ ἔπειτ᾽ ἀπάνευθε νεῶν μετὰ δ᾽ ἰὸν ἕηκε,48,1,1.48,10254.872579026354,5.649761069315966,7.8385928619376255,42773.69923291624,43653.197304674555
48,δεινὴ δὲ κλαγγὴ γένετ᾽ ἀργυρέοιο βιοῖο,49,1,1.49,3163.0136131180707,3.076131545023163,8.042327126462942,11736.992041865999,12962.83762829132
49,οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,50,1,1.5,8995.8035946512,2.8541070741451895,7.110097616838138,27742.36678466039,29494.90849574556
50,αὐτὰρ ἔπειτ᾽ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,51,1,1.51,12212.048187167598,4.782660581632584,7.809367352546455,1458565.2072891088,1459442.0719212717
51,βάλλ᾽ αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί,52,1,1.52,17032.57446071906,3.076131545023163,8.084008214654071,471293.9829670314,477834.60537721147
52,ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,53,1,1.53,2996.253683382124,3.823063548726631,7.4391468466111,26291.04915973449,26944.786597439437
53,τῇ δεκάτῃ δ᾽ ἀγορὴν δὲ καλέσσατο λαὸν ἀχιλλεύς,54,1,1.54,647.7491148204714,3.076131545023163,6.940580445581973,1700.8010265542505,2232.12873747649
54,τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος ἥρη,55,1,1.55,356.32064947309897,4.3504780851857054,6.104567614713615,2706.318580377742,2986.881580581627
55,κήδετο γὰρ δαναῶν ὅτι ῥα θνήσκοντας ὁρᾶτο,56,1,1.56,138448.43585037783,4.3504780851857054,7.589439378324855,314001.0371215536,316266.5570340958
56,οἳ δ᾽ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,57,1,1.57,1672.0709506967169,3.539143910167681,6.6265273117754315,3830.646479438757,4575.759394384909
57,τοῖσι δ᾽ ἀνιστάμενος μετέφη πόδας ὠκὺς ἀχιλλεύς,58,1,1.58,293.06888046897734,6.149536856895372,7.340177795485136,10859.941929825516,11108.391946139624
58,ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,59,1,1.59,71576.56194326769,4.828513886128706,7.473388318422579,10845.741212872405,12667.701374021062
59,ἂψ ἀπονοστήσειν εἴ κεν θάνατόν γε φύγοιμεν,60,1,1.6,2373.0917220781325,4.849255370435522,7.121842950282562,249.21211490698454,1106.7969450288333
60,εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς ἀχαιούς,61,1,1.61,88837.24668626359,2.8541070741451895,6.694335356908571,148130.60431595176,151104.65927310186
61,ἀλλ᾽ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,62,1,1.62,90552.56955272463,4.455838600843531,7.613173367949854,86644.55868907245,92859.85697040863
62,ἢ καὶ ὀνειροπόλον καὶ γάρ τ᾽ ὄναρ ἐκ διός ἐστιν,63,1,1.63,4584.770989943499,2.8541070741451895,6.361665100551783,13848.617307819748,15265.030037411238
63,ὅς κ᾽ εἴποι ὅ τι τόσσον ἐχώσατο φοῖβος ἀπόλλων,64,1,1.64,1789.3605570702946,5.289758335284559,7.118751224884821,3231.215248828973,4382.620581743349
64,εἴτ᾽ ἄρ᾽ ὅ γ᾽ εὐχωλῆς ἐπιμέμφεται ἠδ᾽ ἑκατόμβης,65,1,1.65,26533.852886958626,4.8024632089287635,8.108604862399998,47383.57134632774,47914.386655363225
65,αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,66,1,1.66,20830.834205490668,3.539143910167681,7.40658711998209,72017.45590567584,77031.5023196353
66,βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι,67,1,1.67,2930.4329658963557,5.289758335284559,8.015416294209707,30161.882264601732,31505.35789349598
67,ἤτοι ὅ γ᾽ ὣς εἰπὼν κατ᾽ ἄρ᾽ ἕζετο τοῖσι δ᾽ ἀνέστη,68,1,1.68,972.1178340028478,4.133901503841432,6.188938175818123,911.4858344605043,1650.4146434728486
68,κάλχας θεστορίδης οἰωνοπόλων ὄχ᾽ ἄριστος,69,1,1.69,2488.03599934396,7.4415205385440215,8.839400392148551,270586.8583040976,271935.4411452492
69,ὃς ᾔδη τά τ᾽ ἐόντα τά τ᾽ ἐσσόμενα πρό τ᾽ ἐόντα,70,1,1.7,43916.97501291882,5.597801330385256,7.436196308153778,138810.20368830318,143452.70855265035
70,καὶ νήεσσ᾽ ἡγήσατ᾽ ἀχαιῶν ἴλιον εἴσω,71,1,1.71,13890.248860301721,2.8541070741451895,6.770453963310323,4265.192854661707,7179.344818957519
71,ἣν διὰ μαντοσύνην τήν οἱ πόρε φοῖβος ἀπόλλων,72,1,1.72,3531.833112589859,4.4578608462243,7.063700578256169,6876.777614394695,7725.74770982942
72,ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν,73,1,1.73,420.7636993169569,2.8541070741451895,7.072005990621811,37.92152997815634,394.80959882793957
73,ὦ ἀχιλεῦ κέλεαί με διῒ φίλε μυθήσασθαι,74,1,1.74,18824.299017270794,5.683662620991647,8.00828073322551,169238.82080991875,170993.3044119651
74,μῆνιν ἀπόλλωνος ἑκατηβελέταο ἄνακτος,75,1,1.75,22373.258331759054,6.996834717282575,8.354335544125929,310197.5781272054,310261.7511050951
75,τοὶ γὰρ ἐγὼν ἐρέω σὺ δὲ σύνθεο καί μοι ὄμοσσον,76,1,1.76,1066.7840290431702,3.076131545023163,6.226716732620792,5377.237279487017,6199.238586881011
76,ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν,77,1,1.77,3217.741702888767,2.8541070741451895,6.679391818900613,7224.123982860941,9398.386346846673
77,ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν ὃς μέγα πάντων,78,1,1.78,8402.447510260756,4.3504780851857054,6.726893697004906,5687.872199527435,7190.49970849195
78,ἀργείων κρατέει καί οἱ πείθονται ἀχαιοί,79,1,1.79,4513.422575034875,4.4578608462243,6.947616483309379,13399.053979006901,15494.052886670119
79,κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ,80,1,1.8,67590.16186309463,4.3504780851857054,7.76181372140169,164554.00248534902,166842.78622116166
80,εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,81,1,1.81,21796.817959043772,2.8541070741451895,6.0375498880519345,87156.50266769386,89360.44034574952
81,ἀλλά τε καὶ μετόπισθεν ἔχει κότον ὄφρα τελέσσῃ,82,1,1.82,2623.7864595587266,2.8541070741451895,6.834587200990331,-305.4912875217267,1364.0199427137718
82,ἐν στήθεσσιν ἑοῖσι σὺ δὲ φράσαι εἴ με σαώσεις,83,1,1.83,6201.465277513245,3.076131545023163,6.757839283609005,5099.3710844827565,7268.249028987048
83,τὸν δ᾽ ἀπαμειβόμενος προσέφη πόδας ὠκὺς ἀχιλλεύς,84,1,1.84,66.79384766114622,4.410421121152739,6.150671739515353,1918.4129128940622,1980.3383704440478
84,θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα,85,1,1.85,55804.95749637106,5.322858283710905,7.860464494362591,34469.181354250475,37486.14907593426
85,οὐ μὰ γὰρ ἀπόλλωνα διῒ φίλον ᾧ τε σὺ κάλχαν,86,1,1.86,14413.16212395508,3.539143910167681,6.639586049280035,946605.7918694676,948279.7726514959
86,εὐχόμενος δαναοῖσι θεοπροπίας ἀναφαίνεις,87,1,1.87,4352.462933258687,6.996834717282575,8.482041950067426,7561.831621194959,8251.505994104386
87,οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,88,1,1.88,15964.045802412484,2.8541070741451895,6.6411684747460935,11445.940810794405,12188.335254368561
88,σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει,89,1,1.89,29816.996206906795,5.704569305810962,7.9574950501725175,40126.3593470204,41504.39056625402
89,συμπάντων δαναῶν οὐδ᾽ ἢν ἀγαμέμνονα εἴπῃς,90,1,1.9,4816.94723140479,4.936811261459841,7.8087079160721045,64275.6163411084,64860.82952774131
90,ὃς νῦν πολλὸν ἄριστος ἀχαιῶν εὔχεται εἶναι,91,1,1.91,991.0288046321573,4.828513886128706,6.4083247231008755,1061.9063494452448,1832.3328349412639
91,καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων,92,1,1.92,340722.79796451057,2.8541070741451895,6.465181437192058,40358.65438366185,43982.12128128065
92,οὔ τ᾽ ἄρ ὅ γ᾽ εὐχωλῆς ἐπιμέμφεται οὐδ᾽ ἑκατόμβης,93,1,1.93,113055.43111241379,4.8024632089287635,7.253417108451745,99502.41215070373,100569.77195920698
93,ἀλλ᾽ ἕνεκ᾽ ἀρητῆρος ὃν ἠτίμησ᾽ ἀγαμέμνων,94,1,1.94,30331.995421500334,4.455838600843531,7.515299079830371,175442.7059371725,176564.3514515672
94,οὐδ᾽ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατ᾽ ἄποινα,95,1,1.95,9517.821376938326,2.8541070741451895,7.044391679844667,121229.30046728924,122641.9583993498
95,τοὔνεκ᾽ ἄρ᾽ ἄλγε᾽ ἔδωκεν ἑκηβόλος ἠδ᾽ ἔτι δώσει,96,1,1.96,1921.7634814429207,4.8024632089287635,7.561468636891448,14698.336640048616,15810.365054056821
96,οὐδ᾽ ὅ γε πρὶν δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει,97,1,1.97,1795.0199584301222,4.849255370435522,7.1098806850511975,10645.57322375607,11319.403525028232
97,πρίν γ᾽ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην,98,1,1.98,8828.10678680255,5.289758335284559,7.598133634364871,30985.092051958276,32292.19256184284
98,ἀπριάτην ἀνάποινον ἄγειν θ᾽ ἱερὴν ἑκατόμβην,99,1,1.99,99161.52648530429,8.095447005950685,9.065077281548906,12366.099658099341,14616.713202872092
99,ἐς χρύσην τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν,100,1,1.1,140090.10790590695,4.8432852034490175,7.379792642264987,241748.90717387284,243723.44366645577
100,ἤτοι ὅ γ᾽ ὣς εἰπὼν κατ᾽ ἄρ᾽ ἕζετο τοῖσι δ᾽ ἀνέστη,101,1,1.101,972.1178340028478,4.133901503841432,6.188938175818123,911.4858344605043,1650.4146434728486
101,ἥρως ἀτρεΐδης εὐρὺ κρείων ἀγαμέμνων,102,1,1.102,184.9248651551668,6.065276513277633,6.779612519920157,636.067538236421,794.1838742562536
102,ἀχνύμενος μένεος δὲ μέγα φρένες ἀμφιμέλαιναι,103,1,1.103,6452.450817766994,3.076131545023163,7.395179532087513,592.3345516873646,1812.8354715218109
103,πίμπλαντ᾽ ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐΐκτην,104,1,1.104,106299.81153844131,4.115046703077803,7.376010929746209,7630.022008201451,9264.977456444849
104,κάλχαντα πρώτιστα κάκ᾽ ὀσσόμενος προσέειπε,105,1,1.105,6130.881300224924,6.671412316847948,8.847564791052601,10558.73583670142,11472.945916859337
105,μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας,106,1,1.106,724802.5817219517,4.936811261459841,7.6325524898432535,83639.44413448342,86182.39547937653
106,αἰεί τοι τὰ κάκ᾽ ἐστὶ φίλα φρεσὶ μαντεύεσθαι,107,1,1.107,2600.6368583371795,4.898344980632046,7.312812686235132,2355.009279872056,3818.739788200606
107,ἐσθλὸν δ᾽ οὔτέ τί πω εἶπας ἔπος οὔτ᾽ ἐτέλεσσας,108,1,1.108,25766.057709820376,5.872904620630176,7.451050598137007,42206.17430406935,44391.40225510894
108,καὶ νῦν ἐν δαναοῖσι θεοπροπέων ἀγορεύεις,109,1,1.109,1199.9627933526485,2.8541070741451895,6.02147810117426,522.1953424963557,1449.9551594711832
109,ὡς δὴ τοῦδ᾽ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,110,1,1.11,77929.30126535524,4.728151175964212,7.909061591961482,214475.033481549,218119.7986351147
110,οὕνεκ᾽ ἐγὼ κούρης χρυσηΐδος ἀγλά᾽ ἄποινα,111,1,1.111,7347.953843304896,5.392538204348894,8.043302692576694,607150.2023826136,607816.4496195853
111,οὐκ ἔθελον δέξασθαι ἐπεὶ πολὺ βούλομαι αὐτὴν,112,1,1.112,2329.6279967711316,4.963302876906818,7.630927349078336,-133.62637691358054,1335.6317890123307
112,οἴκοι ἔχειν καὶ γάρ ῥα κλυταιμνήστρης προβέβουλα,113,1,1.113,616113.6377485691,2.8541070741451895,7.510399080323194,100671.60393533415,104602.8874066131
113,κουριδίης ἀλόχου ἐπεὶ οὔ ἑθέν ἐστι χερείων,114,1,1.114,121717.43977903444,4.963302876906818,8.031756235730276,23837.77098040499,25710.5122311927
114,οὐ δέμας οὐδὲ φυήν οὔτ᾽ ἂρ φρένας οὔτέ τι ἔργα,115,1,1.115,7265.027594281519,5.014949465768985,6.895868637373089,4031.7689256175613,5170.324142873761
115,ἀλλὰ καὶ ὧς ἐθέλω δόμεναι πάλιν εἰ τό γ᾽ ἄμεινον,116,1,1.116,4477.923881270156,2.8541070741451895,6.587920975319388,30879.480371139838,32077.388686898143
116,βούλομ᾽ ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι,117,1,1.117,21349.836427794515,5.392538204348894,7.616350148657127,36045.310119758105,37089.337675454866
117,αὐτὰρ ἐμοὶ γέρας αὐτίχ᾽ ἑτοιμάσατ᾽ ὄφρα μὴ οἶος,118,1,1.118,212587.4645121081,4.782660581632584,7.125285185827145,21333.159494957043,24072.622627433717
118,ἀργείων ἀγέραστος ἔω ἐπεὶ οὐδὲ ἔοικε,119,1,1.119,78092.40976658824,4.963302876906818,7.585335987227018,55969.14359437149,59192.177362448296
119,λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ,120,1,1.12,7846.164965969425,4.3504780851857054,6.807218226639157,24513.400025172017,28048.77505312042
120,τὸν δ᾽ ἠμείβετ᾽ ἔπειτα ποδάρκης δῖος ἀχιλλεύς,121,1,1.121,161.51487563685302,4.410421121152739,6.063128684889134,7788.77159746672,7941.532214073194
121,ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,122,1,1.122,28005.38916904974,6.728570730687896,7.893120345916044,176247.65659144724,176624.9122704503
122,πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι ἀχαιοί,123,1,1.123,1420.1217375224298,4.898344980632046,6.999555383800571,1748.6159863731782,2621.733525511147
123,οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά,124,1,1.124,36156.548188430585,5.423954400582273,7.6163677293293786,93349.80211078029,98176.1581319743
124,ἀλλὰ τὰ μὲν πολίων ἐξεπράθομεν τὰ δέδασται,125,1,1.125,42344.580086126676,3.823063548726631,7.003574779561019,58294.648485093305,60224.78304934778
125,λαοὺς δ᾽ οὐκ ἐπέοικε παλίλλογα ταῦτ᾽ ἐπαγείρειν,126,1,1.126,135298.5307366488,5.352128666011017,8.550278230471424,292076.3795077206,293571.5168438617
126,ἀλλὰ σὺ μὲν νῦν τήνδε θεῷ πρόες αὐτὰρ ἀχαιοὶ,127,1,1.127,21387.730449791467,3.823063548726631,6.433828499971103,30655.481722821696,31519.077385604614
127,τριπλῇ τετραπλῇ τ᾽ ἀποτείσομεν αἴ κέ ποθι ζεὺς,128,1,1.128,511164.6071717756,5.864605817815481,8.172496867857328,370071.561304501,371973.1273433583
128,δῷσι πόλιν τροίην εὐτείχεον ἐξαλαπάξαι,129,1,1.129,3669.5688185807107,6.653063178179751,8.337155600527476,64049.413238446745,64919.46766960712
129,τὸν δ᾽ ἀπαμειβόμενος προσέφη κρείων ἀγαμέμνων,130,1,1.13,82.07830715497761,4.410421121152739,6.009215785501202,195.75660932484567,272.9038065562557
130,μὴ δ᾽ οὕτως ἀγαθός περ ἐὼν θεοείκελ᾽ ἀχιλλεῦ,131,1,1.131,972.7732491502006,4.946663557902854,7.3048878431465365,11390.357597408825,11816.204701001183
131,κλέπτε νόῳ ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις,132,1,1.132,12978.225973889077,4.963302876906818,7.348226549411164,22284.904860474788,23619.907982255394
132,ἦ ἐθέλεις ὄφρ᾽ αὐτὸς ἔχῃς γέρας αὐτὰρ ἔμ᾽ αὔτως,133,1,1.133,16759.70183308704,4.782660581632584,7.070563441759024,11371.9484885856,12142.37224042177
133,ἧσθαι δευόμενον κέλεαι δέ με τήνδ᾽ ἀποδοῦναι,134,1,1.134,11978.636080820337,4.115046703077803,8.042613768258034,21255.87393762117,25413.34494837697
134,ἀλλ᾽ εἰ μὲν δώσουσι γέρας μεγάθυμοι ἀχαιοὶ,135,1,1.135,2422.2835448402516,3.823063548726631,6.332638728912009,2784.160956451118,4265.319286675684
135,ἄρσαντες κατὰ θυμὸν ὅπως ἀντάξιον ἔσται,136,1,1.136,1470.9485038582666,4.949969346037353,7.497059115262111,18674.207261309653,19712.488175623075
136,εἰ δέ κε μὴ δώωσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι,137,1,1.137,8713.487946738975,4.115046703077803,5.950825702533924,40715.18152810491,42238.42769089834
137,ἢ τεὸν ἢ αἴαντος ἰὼν γέρας ἢ ὀδυσῆος,138,1,1.138,69539.5974817131,7.259198981750067,7.844053643664435,99251.1825053329,102920.06141559083
138,ἄξω ἑλών ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι,139,1,1.139,3004.3237803273555,4.115046703077803,7.167939994724522,25246.845759447686,26040.099889718713
139,ἀλλ᾽ ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,140,1,1.14,11609.220813215854,2.8541070741451895,5.72584275330425,550415.8195118209,551520.4006165256
140,νῦν δ᾽ ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,141,1,1.141,2427.1270877507854,4.828513886128706,7.107323440405909,-851.1689597984846,617.1370315382264
141,ἐν δ᾽ ἐρέτας ἐπιτηδὲς ἀγείρομεν ἐς δ᾽ ἑκατόμβην,142,1,1.142,42813.33644931993,3.9998212135725364,7.779965498534392,5288.133077428785,6851.129723463844
142,θείομεν ἂν δ᾽ αὐτὴν χρυσηΐδα καλλιπάρῃον,143,1,1.143,7808.113296503629,5.610540356162685,8.1322547372246,49655.76664170193,50491.29653743339
